Session,RC,RT,MC,LT,JP,AD,Volume(%)
1,R,0.68102505180741,2,Y,R,34,67
1,R,0.64550236570517,1,W,L,80,90
1,R,0.703020537031762,3,W,L,0,50
1,R,1.05917883722145,2,Y,L,34,33
1,R,0.620504341257629,3,Y,L,0,50
1,R,0.864269783242207,2,Y,R,34,67
1,R,1.05319088523675,4,W,L,34,33
1,R,0.946423919598146,4,W,L,34,33
1,R,0.670644012062894,4,Y,L,34,67
1,R,1.00695184128995,1,W,R,80,10
1,B,1.97303032916159,2,W,R,34,33
1,B,2.47255814959695,4,W,L,34,33
1,B,0.928534879241909,4,W,R,34,67
1,B,1.55631436131966,1,Y,R,80,90
